# q1,q2,q3
8.597672714850870257e-01,-1.427429837483275454e+00,2.259268912346007463e-02
8.597683753725999800e-01,-1.427376360692195201e+00,2.242680915874325012e-02
8.597694135659077475e-01,-1.427326461831720961e+00,2.227279708936632727e-02
8.597703900302419155e-01,-1.427279924304336367e+00,2.213010482758334327e-02
8.597713084802738326e-01,-1.427236541218697141e+00,2.199817594034946325e-02
8.597721723981787134e-01,-1.427196115517310737e+00,2.187645135258019929e-02
8.597729850499734594e-01,-1.427158459980340410e+00,2.176437421605801129e-02
8.597737495003640040e-01,-1.427123397130272808e+00,2.166139403018801576e-02
8.597744686262968061e-01,-1.427090759058227798e+00,2.156697009385934172e-02
8.597751451293750291e-01,-1.427060387189321489e+00,2.148057436113141871e-02
8.597757815472754084e-01,-1.427032132001615050e+00,2.140169376732596260e-02
8.597763802642776065e-01,-1.427005852710745648e+00,2.132983208635504113e-02
8.597769435210022015e-01,-1.426981416930254598e+00,2.126451137474124828e-02
8.597774734234377991e-01,-1.426958700315871242e+00,2.120527305277392083e-02
8.597779719513274355e-01,-1.426937586200517805e+00,2.115167866858182893e-02
8.597784409659730009e-01,-1.426917965225541707e+00,2.110331038657222227e-02
8.597788822175096435e-01,-1.426899734972617351e+00,2.105977123767380568e-02
8.597792973516962256e-01,-1.426882799599863638e+00,2.102068516511108529e-02
8.597796879162600270e-01,-1.426867069484973882e+00,2.098569689601421234e-02
8.597800553668319967e-01,-1.426852460877524376e+00,2.095447166601608485e-02
8.597804010725031976e-01,-1.426838895562101417e+00,2.092669482109187074e-02
8.597807263210307527e-01,-1.426826300533454051e+00,2.090207131823988360e-02
8.597810323237182750e-01,-1.426814607684513403e+00,2.088032514417209953e-02
8.597813202199935390e-01,-1.426803753507827732e+00,2.086119866896343419e-02
8.597815910817042662e-01,-1.426793678810712951e+00,2.084445194958668701e-02
8.597818459171511218e-01,-1.426784328444225869e+00,2.082986199642208880e-02
8.597820856748746854e-01,-1.426775651045905757e+00,2.081722201416312881e-02
8.597823112472130491e-01,-1.426767598796102599e+00,2.080634062703203696e-02
8.597825234736444777e-01,-1.426760127187610916e+00,2.079704109685668115e-02
8.597827231439285622e-01,-1.426753194808253467e+00,2.078916054133510272e-02
8.597829110010586362e-01,-1.426746763135996909e+00,2.078254915871340439e-02
8.597830877440377773e-01,-1.426740796346143592e+00,2.077706946411757988e-02
8.597832540304878313e-01,-1.426735261130111398e+00,2.077259554190051885e-02
8.597834104791037824e-01,-1.426730126525296516e+00,2.076901231758313676e-02
8.597835576719606854e-01,-1.426725363755503517e+00,2.076621485227502298e-02
8.597836961566840408e-01,-1.426720946081426078e+00,2.076410766184725448e-02
8.597838264484906068e-01,-1.426716848660661840e+00,2.076260406259120006e-02
8.597839490321078637e-01,-1.426713048416755614e+00,2.076162554462514936e-02
8.597840643635796809e-01,-1.426709523916775080e+00,2.076110117389933299e-02
8.597841728719648469e-01,-1.426706255256934730e+00,2.076096702329351812e-02
8.597842749609343471e-01,-1.426703223955805067e+00,2.076116563299455417e-02
8.597843710102744952e-01,-1.426700412854655209e+00,2.076164550007880347e-02
8.597844613773004685e-01,-1.426697806024500803e+00,2.076236059700211148e-02
8.597845463981865777e-01,-1.426695388679444232e+00,2.076326991851323508e-02
8.597846263892171548e-01,-1.426693147095916325e+00,2.076433705635191002e-02
8.597847016479637228e-01,-1.426691068537446760e+00,2.076552980096629461e-02
8.597847724543923320e-01,-1.426689141184608545e+00,2.076681976938311858e-02
8.597848390719052825e-01,-1.426687354069803959e+00,2.076818205828468572e-02
8.597849017483213396e-01,-1.426685697016574217e+00,2.076959492128706286e-02
8.597849607167977748e-01,-1.426684160583136629e+00,2.077103946937111298e-02
8.597850161966976712e-01,-1.426682736009867059e+00,2.077249939338991422e-02
8.597850683944064931e-01,-1.426681415170464540e+00,2.077396070756110102e-02
8.597851175040994720e-01,-1.426680190526549818e+00,2.077541151284844831e-02
8.597851637084642507e-01,-1.426679055085464443e+00,2.077684177914223065e-02
8.597852071793804507e-01,-1.426678002361053466e+00,2.077824314516113838e-02
8.597852480785592721e-01,-1.426677026337226151e+00,2.077960873501824568e-02
8.597852865581449011e-01,-1.426676121434103939e+00,2.078093299041896755e-02
8.597853227612806126e-01,-1.426675282476577156e+00,2.078221151748855730e-02
8.597853568226412335e-01,-1.426674504665101706e+00,2.078344094726012822e-02
8.597853888689341861e-01,-1.426673783548582319e+00,2.078461880889020952e-02
8.597854190193708890e-01,-1.426673114999192915e+00,2.078574341470698292e-02
8.597854473861101798e-01,-1.426672495189001300e+00,2.078681375623591190e-02
8.597854740746755375e-01,-1.426671920568270080e+00,2.078782941038794310e-02
8.597854991843476569e-01,-1.426671387845314332e+00,2.078879045503639195e-02
8.597855228085338197e-01,-1.426670893967808551e+00,2.078969739324960930e-02
8.597855450351152840e-01,-1.426670436105437645e+00,2.079055108548717376e-02
8.597855659467741329e-01,-1.426670011633798474e+00,2.079135268910753051e-02
8.597855856213012515e-01,-1.426669618119461136e+00,2.079210360457430309e-02
8.597856041318852061e-01,-1.426669253306108498e+00,2.079280542778678964e-02
8.597856215473846930e-01,-1.426668915101677371e+00,2.079345990799743790e-02
8.597856379325850007e-01,-1.426668601566427608e+00,2.079406891081483563e-02
8.597856533484383723e-01,-1.426668310901875403e+00,2.079463438582543344e-02
8.597856678522913798e-01,-1.426668041440526835e+00,2.079515833840016314e-02
8.597856814980978646e-01,-1.426667791636354599e+00,2.079564280528380799e-02
8.597856943366197768e-01,-1.426667560055965289e+00,2.079608983359496066e-02
8.597857064156160245e-01,-1.426667345370405959e+00,2.079650146289301060e-02
8.597857177800199979e-01,-1.426667146347566417e+00,2.079687970999553534e-02
8.597857284721069915e-01,-1.426666961845131087e+00,2.079722655625504402e-02
8.597857385316511891e-01,-1.426666790804043350e+00,2.079754393702791179e-02
8.596755429801516968e-01,-1.426666576491201432e+00,2.079732113222549500e-02
8.594840155669873916e-01,-1.426666329704084690e+00,2.079664095212250402e-02
8.592292149654617850e-01,-1.426665019176546867e+00,2.079588176075375383e-02
8.589277272992077439e-01,-1.426663799680268907e+00,2.080929928520391936e-02
8.585923319124205699e-01,-1.426663959573296170e+00,2.085487634709108987e-02
8.582327154170049655e-01,-1.426666539757032393e+00,2.094945863877545333e-02
8.578561965000784939e-01,-1.426672264057059936e+00,2.110789505727599796e-02
8.574682791307218777e-01,-1.426681502882218622e+00,2.134250636801388740e-02
8.570730754744744218e-01,-1.426694263382512151e+00,2.166280627499040171e-02
8.566736298390573712e-01,-1.426710200161017905e+00,2.207541395855375232e-02
8.562721673831559244e-01,-1.426728641381136642e+00,2.258410915603335789e-02
8.558702855572289936e-01,-1.426748625848297758e+00,2.318999054957861239e-02
8.554691018746640729e-01,-1.426768947328302506e+00,2.389170607910169955e-02
8.550693683007073442e-01,-1.426788202989037968e+00,2.468573018939020786e-02
8.546715600420987657e-01,-1.426804843416690671e+00,2.556666823652667397e-02
8.542759446288886727e-01,-1.426817222161936183e+00,2.652757254354233540e-02
8.538826357539104350e-01,-1.426823643217347115e+00,2.756025808522198986e-02
8.534916352621088054e-01,-1.426822405216986001e+00,2.865560863796291768e-02
8.531028658753199156e-01,-1.426811841486073540e+00,2.980386656607373827e-02
8.527161966325211839e-01,-1.426790355356531315e+00,3.099490132314051960e-02
8.523314625710345371e-01,-1.426756450407114185e+00,3.221845330151833220e-02
8.519484798326960595e-01,-1.426708755488935498e+00,3.346435092648942372e-02
8.515670571218522111e-01,-1.426646044562576376e+00,3.472269991493031477e-02
8.511870042475330189e-01,-1.426567251505656664e+00,3.598404444304677263e-02
8.508081383340233561e-01,-1.426471480153537419e+00,3.723950062785239684e-02
8.504302881701998329e-01,-1.426358009914300284e+00,3.848086325024718118e-02
8.500532970794469900e-01,-1.426226297355597916e+00,3.970068705623815836e-02
8.496770246221336809e-01,-1.426075974198442786e+00,4.089234428520373277e-02
8.493013473867287999e-01,-1.425906842174256894e+00,4.205006030485358703e-02
8.489261590802004154e-01,-1.425718865209057995e+00,4.316892939365468002e-02
8.485513700908996482e-01,-1.425512159394785039e+00,4.424491281282386113e-02
8.481769066659134992e-01,-1.425286981194502367e+00,4.527482135974778693e-02
8.478027098186212696e-01,-1.425043714307417941e+00,4.625628459989100660e-02
8.474287340600077378e-01,-1.424782855592943598e+00,4.718770894102519708e-02
8.470549460285159427e-01,-1.424505000421875334e+00,4.806822664746248502e-02
8.467933395816189535e-01,-1.424213591558815217e+00,4.889741910608968317e-02
8.466147039068617763e-01,-1.423907434474145361e+00,4.966832515705668638e-02
8.464975678149473381e-01,-1.423586234212850465e+00,5.036982416408127688e-02
8.464256199279520665e-01,-1.423249742806161899e+00,5.098926185191396399e-02
8.463864886932090936e-01,-1.422897886378271082e+00,5.151411774125952414e-02
8.463708139966460431e-01,-1.422530849071968362e+00,5.193315836196805285e-02
8.463715385825941739e-01,-1.422149119921605420e+00,5.223719143521877994e-02
8.463833666981750437e-01,-1.421753510172844237e+00,5.241951150730227160e-02
8.464023500756635565e-01,-1.421345147617265159e+00,5.247610893109289076e-02
8.464255709689377793e-01,-1.420925453622199353e+00,5.240569964244155138e-02
8.464508992299693002e-01,-1.420496107712168943e+00,5.220962186078059036e-02
8.464768059187847138e-01,-1.420059003804542863e+00,5.189163689326380113e-02
8.465022201166420013e-01,-1.419616201520064180e+00,5.145766406477663563e-02
8.465264187828819287e-01,-1.419169875377545242e+00,5.091547400202970503e-02
8.465489419065754806e-01,-1.418722264138372990e+00,5.027435974943421371e-02
8.465695602676794884e-01,-1.418275665865079693e+00,4.954542134218977573e-02
8.465885026365080890e-01,-1.417834343947222298e+00,4.874766391075167904e-02
8.466061096415726794e-01,-1.417398994870081363e+00,4.789862231365459716e-02
8.466225038397534597e-01,-1.416972777556284813e+00,4.701278150852414989e-02
8.466378437038514226e-01,-1.416556389283117667e+00,4.610328990167122942e-02
8.466522087390180307e-01,-1.416152028125185591e+00,4.518097104620902998e-02
8.466656702720641858e-01,-1.415761332271020967e+00,4.425512758027264071e-02
8.466782926401233977e-01,-1.415385475618411881e+00,4.333369494316068049e-02
8.466901341660257874e-01,-1.415025248893573506e+00,4.242338297164638394e-02
8.467012479619996368e-01,-1.414681128378199926e+00,4.152980606166221944e-02
8.467116825949754233e-01,-1.414353334035551857e+00,4.065760256925853022e-02
8.467214826401069372e-01,-1.414041878574510802e+00,3.981054410973747931e-02
8.467306891438136640e-01,-1.413746608773365665e+00,3.899163539584284133e-02
8.467393400134073378e-01,-1.413467240198148733e+00,3.820320523544180891e-02
8.467474703469810571e-01,-1.413203386289426655e+00,3.744698928679355415e-02
8.467551127145369616e-01,-1.412954582652987678e+00,3.672420514572433820e-02
8.467622973991688617e-01,-1.412720307270739495e+00,3.603562031422586492e-02
8.467690526053921474e-01,-1.412499997245666439e+00,3.538161357451451161e-02
8.467754046403342949e-01,-1.412293062606584160e+00,3.476223026673989913e-02
8.467813780723962847e-01,-1.412098897622685367e+00,3.417723194257371588e-02
8.467869958711133904e-01,-1.411916890012772319e+00,3.362614084106801959e-02
8.467922795312372575e-01,-1.411746428378147122e+00,3.310827960763578631e-02
8.467972491834947490e-01,-1.411586908140098240e+00,3.262280665193345586e-02
8.468019236940252936e-01,-1.411437736221690997e+00,3.216874751594715753e-02
8.468060229266636263e-01,-1.411299831528941784e+00,3.174455454369181501e-02
8.468096415100911933e-01,-1.411172319663646313e+00,3.134914135438583022e-02
8.468128561836095747e-01,-1.411054397178966635e+00,3.098135428610124600e-02
8.468157293486138215e-01,-1.410945325423626606e+00,3.063999171723112702e-02
8.468183119042523854e-01,-1.410844424969311728e+00,3.032382087341426932e-02
8.468206455121990439e-01,-1.410751070560359866e+00,3.003159236264321338e-02
8.468227644060815074e-01,-1.410664686531788226e+00,2.976205266304726010e-02
8.468246968376891282e-01,-1.410584742647806200e+00,2.951395477054690950e-02
8.468264662334112902e-01,-1.410510750318335838e+00,2.928606719721782783e-02
8.468280921194707433e-01,-1.410442259155769484e+00,2.907718149577095262e-02
8.468295169723860649e-01,-1.410380626234457369e+00,2.888556599514691819e-02
8.468307739522081823e-01,-1.410325096235361952e+00,2.871016308922728910e-02
8.468318899434525981e-01,-1.410275003874030597e+00,2.854994411205375934e-02
8.468328868013688115e-01,-1.410229762546523880e+00,2.840391322613180364e-02
8.468337823469939130e-01,-1.410188854459351937e+00,2.827111046486106144e-02
8.468345911618531119e-01,-1.410151822045319525e+00,2.815061403163401921e-02
8.468353252228595363e-01,-1.410118260493939069e+00,2.804154194870993669e-02
8.468359944097443304e-01,-1.410087811248194045e+00,2.794305314020676181e-02
8.468366069107953198e-01,-1.410060156339414839e+00,2.785434802542938876e-02
8.468371695474583571e-01,-1.410035013449296049e+00,2.777466869123716015e-02
8.468376880341904611e-01,-1.410012131603006758e+00,2.770329870521584179e-02
8.468381671866335170e-01,-1.409991287410243821e+00,2.763956262502796982e-02
8.468386110885305351e-01,-1.409972281782229775e+00,2.758282525344003117e-02
8.468390232256952643e-01,-1.409954937062295022e+00,2.753249068313473949e-02
8.468394065936647452e-01,-1.409939094516022839e+00,2.748800117048214031e-02
8.468397637843222414e-01,-1.409924612134143551e+00,2.744883587293554805e-02
8.468400970557078411e-01,-1.409911362707597426e+00,2.741450948060943429e-02
8.468404083883828148e-01,-1.409899232139583347e+00,2.738457076885933775e-02
8.468406995310328034e-01,-1.409888117964074761e+00,2.735860109529286016e-02
8.468409720374522331e-01,-1.409877928044325879e+00,2.733621286157098679e-02
8.468412272966217014e-01,-1.409868579428382285e+00,2.731704795758679860e-02
8.468414665572436828e-01,-1.409859997341642135e+00,2.730077620311152295e-02
8.468416909478275745e-01,-1.409852114299132264e+00,2.728709379975461854e-02
8.468419014931958255e-01,-1.409844869322431915e+00,2.727572180407518768e-02
8.468420991281080390e-01,-1.409838207248145903e+00,2.726640463088704849e-02
8.468422847085591565e-01,-1.409832078116534326e+00,2.725890859420200887e-02
8.468424590211991454e-01,-1.409826436630378543e+00,2.725302049183808695e-02
8.468426227912290161e-01,-1.409821241675448755e+00,2.724854623846602319e-02
8.468427766890610497e-01,-1.409816455895049225e+00,2.724530955076401653e-02
8.468429213359706109e-01,-1.409812045312077711e+00,2.724315068738317538e-02
8.468430573089255065e-01,-1.409807978992878352e+00,2.724192524558236711e-02
8.468431851447388858e-01,-1.409804228747888910e+00,2.724150301565899865e-02
8.468433053436663638e-01,-1.409800768864717169e+00,2.724176689367083931e-02
8.468434183725422892e-01,-1.409797575869831343e+00,2.724261185240350880e-02
8.468435246675329875e-01,-1.409794628315522935e+00,2.724394397007902369e-02
8.468436246365699249e-01,-1.409791906589219712e+00,2.724567951591455595e-02
8.468437186615130896e-01,-1.409789392742583525e+00,2.724774409131941466e-02
8.468438071000866652e-01,-1.409787070338147430e+00,2.725007182525496577e-02
8.468438902876200824e-01,-1.409784924311515919e+00,2.725260462207012083e-02
8.468439685386230931e-01,-1.409782940847394084e+00,2.725529145995841604e-02
8.468440421482161806e-01,-1.409781107267921385e+00,2.725808773805577304e-02
8.468441113934367381e-01,-1.409779411931962656e+00,2.726095467010605788e-02
8.468441765344352223e-01,-1.409777844144174841e+00,2.726385872255992701e-02
8.468442378155751626e-01,-1.409776394072801420e+00,2.726677109493720955e-02
8.468442954664475719e-01,-1.409775052675273477e+00,2.726966724027037395e-02
8.468443497028087519e-01,-1.409773811630796958e+00,2.727252642345337486e-02
8.468444007274502638e-01,-1.409772663279206473e+00,2.727533131534327568e-02
8.468444487310062829e-01,-1.409771600565440819e+00,2.727806762049891920e-02
8.468444938927055521e-01,-1.409770616989072467e+00,2.728072373648920274e-02
8.468445363810718218e-01,-1.409769706558385849e+00,2.728329044276100318e-02
8.468445763545779936e-01,-1.409768863748551260e+00,2.728576061712192219e-02
8.468446139622569646e-01,-1.409768083463496913e+00,2.728812897796370485e-02
8.468446493442735035e-01,-1.409767361001117214e+00,2.729039185042748950e-02
8.468446826324589338e-01,-1.409766692021500845e+00,2.729254695479026160e-02
8.468447139508128441e-01,-1.409766072517891544e+00,2.729459321543227165e-02
8.468447434159728227e-01,-1.409765498790123806e+00,2.729653058882649738e-02
8.468447711376554388e-01,-1.409764967420306991e+00,2.729835990907295354e-02
8.468447972190698003e-01,-1.409764475250549154e+00,2.730008274958183392e-02
8.468448217573061321e-01,-1.409764019362536258e+00,2.730170129958970140e-02
8.468448448437000398e-01,-1.409763597058799167e+00,2.730321825427164950e-02
8.468448665641753470e-01,-1.409763205845520284e+00,2.730463671728910677e-02
8.468448869995660599e-01,-1.409762843416740630e+00,2.730596011468760728e-02
8.468449062259185700e-01,-1.409762507639848117e+00,2.730719211913080688e-02
8.468449243147763150e-01,-1.409762196542234447e+00,2.730833658352645535e-02
8.468449413334465659e-01,-1.409761908299019817e+00,2.730939748316651983e-02
8.468449573452522250e-01,-1.409761641221756623e+00,2.731037886556721833e-02
8.468449724097677489e-01,-1.409761393748027114e+00,2.731128480725525040e-02
8.468449865830415257e-01,-1.409761164431861946e+00,2.731211937680401089e-02
8.468449999178047083e-01,-1.409760951934909912e+00,2.731288660347800171e-02
8.468450124636677234e-01,-1.409760755018297784e+00,2.731359045089504223e-02
8.468450242673052353e-01,-1.409760572535123879e+00,2.731423479516434383e-02
8.468450353726300062e-01,-1.409760403423532260e+00,2.731482340700391170e-02
8.468450458209564324e-01,-1.409760246700322295e+00,2.731535993738348767e-02
8.468450556511540883e-01,-1.409760101455049819e+00,2.731584790627903520e-02
8.468450648997927210e-01,-1.409759966844579937e+00,2.731629069416199526e-02
8.468450736012785862e-01,-1.409759842088057047e+00,2.731669153588118723e-02
8.468450817879819015e-01,-1.409759726462256779e+00,2.731705351662742920e-02
8.468450894903579718e-01,-1.409759619297292765e+00,2.731737956970068867e-02
8.468450967370599880e-01,-1.409759519972647368e+00,2.731767247582733010e-02
8.468451035550461636e-01,-1.409759427913503282e+00,2.731793486380033192e-02
8.468451099696795437e-01,-1.409759342587351583e+00,2.731816921223895536e-02
8.468451160048227067e-01,-1.409759263500855342e+00,2.731837785228584739e-02
8.468451216829265826e-01,-1.409759190196948619e+00,2.731856297107939507e-02
8.468451270251136087e-01,-1.409759122252152386e+00,2.731872661585724865e-02
8.468451320512568881e-01,-1.409759059274092508e+00,2.731887069856354239e-02
8.468451367800535756e-01,-1.409759000899202475e+00,2.731899700084735802e-02
